Preset,Purity,Utility,Decay,Radius,X,Y,Z,Score,Spawn,SpawnDistance
"Phase 2: Steel & Coal","Normal","Linear","Power-Law",700,343421.06,-121343.72,5427.37,28.2477,"Dune Desert",1362.20
"Phase 2: Steel & Coal","Normal","Linear","Linear",700,324693.69,-145110.41,4138.20,9.6982,"Dune Desert",1066.94
"Phase 2: Steel & Coal","Pure","Cobb-Douglas","Gaussian",700,335056.81,-155477.66,4136.61,325352.1034,"Dune Desert",1095.83
"Phase 2: Steel & Coal","Pure","Cobb-Douglas","Exponential",700,351610.81,-143842.87,4691.97,59364.3393,"Dune Desert",1297.45
"Phase 2: Steel & Coal","Pure","Cobb-Douglas","Power-Law",700,330756.84,-132126.69,4923.06,476612.4879,"Dune Desert",1195.87
"Phase 2: Steel & Coal","Pure","Cobb-Douglas","Linear",700,359024.12,-135456.00,5437.00,257.0917,"Dune Desert",1404.41
"Phase 2: Steel & Coal","Pure","Leontief","Gaussian",700,412631.00,-203649.00,438.85,0.9301,"Dune Desert",1727.48
"Phase 2: Steel & Coal","Pure","Leontief","Exponential",700,279551.32,275136.41,1776.96,1.0493,"Grass Fields",3911.33
"Phase 2: Steel & Coal","Pure","Leontief","Power-Law",700,-225280.00,-324120.00,1147.22,1.3750,"Rocky Desert",1266.68
"Phase 2: Steel & Coal","Pure","Leontief","Linear",700,-56529.93,-107932.48,2420.18,0.4538,"Northern Forest",593.06
"Phase 2: Steel & Coal","Pure","Linear","Gaussian",700,338020.33,-131704.98,5009.30,63.2167,"Dune Desert",1254.52
"Phase 2: Steel & Coal","Pure","Linear","Exponential",700,344694.65,-125843.38,4795.10,41.0704,"Dune Desert",1343.25
"Phase 2: Steel & Coal","Pure","Linear","Power-Law",700,406169.01,-131621.51,4715.03,55.4684,"Dune Desert",1837.26
"Phase 2: Steel & Coal","Pure","Linear","Linear",700,324638.45,-144996.57,4139.91,19.2759,"Dune Desert",1067.20
"Phase 3: Oil & Quartz","Default","Cobb-Douglas","Gaussian",700,113372.08,-44776.27,11099.98,23173.0580,"Northern Forest",1220.59
"Phase 3: Oil & Quartz","Default","Cobb-Douglas","Exponential",700,110334.37,-20834.30,12175.73,4993.3376,"Northern Forest",1302.21
"Phase 3: Oil & Quartz","Default","Cobb-Douglas","Power-Law",700,81290.90,-9239.87,13917.10,260403.1490,"Northern Forest",1145.88
"Phase 3: Oil & Quartz","Default","Cobb-Douglas","Linear",700,104067.66,-4082.66,14660.17,1.8283,"Northern Forest",1349.51
